HOSPCODE|HID|HOUSE_ID|HOUSETYPE|ROOMNO|CONDO|HOUSE|SOISUB|SOIMAIN|ROAD|VILLANAME|VILLAGE|TAMBON|AMPUR|CHANGWAT|TELEPHONE|LATITUDE|LONGITUDE|NFAMILY|LOCATYPE|VHVID|HEADID|TOILET|WATER|WATERTYPE|GARBAGE|HOUSING|DURABILITY|CLEANLINESS|VENTILATION|LIGHT|WATERTM|MFOOD|BCONTROL|ACONTROL|CHEMICAL|OUTDATE|D_UPDATE
10823|133||1|||121/2|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|134||1|||121/4*|||||01|03|07|20||||1|1|000000|238347||||||||||||||||20131023185111
10823|135||1|||121/5|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|136||1|||122|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|137||1|||122/11*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131023191733
10823|138||1|||122/12*|||||01|03|07|20||||1|1|000000|238545||||||||||||||||20131023193217
10823|139||1|||122/2|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|140||1|||122/3|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|141||1|||122/4|||||01|03|07|20||||1|1|000000|238446||||||||||||||||20100909173500
10823|142||1|||122/6*|||||01|03|07|20||||1|1|000000|238447||||||||||||||||20131023190709
10823|143||1|||122/8*|||||01|03|07|20||||1|1|000000|238519||||||||||||||||20131023190839
10823|144||1|||123/38|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|145||1|||125|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|146||1|||125/1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|147||1|||126*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024214030
10823|148||1|||126/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024214149
10823|149||1|||126/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024214857
10823|150||1|||126/4|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|151||1|||126/5|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|152||1|||126/7|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|153||1|||126/9*|||||01|03|07|20||||1|1|000000|238318||||||||||||||||20131024215027
10823|2||2|||104|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20141020102114
10823|3||1|||105/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024145836
10823|4||1|||1111|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|5||1|||116/21|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|6||1|||12/20*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019191922
10823|7||1|||128/2*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024215946
10823|8||1|||135/2 ม.1 ต.ทุ่งสุขลา|||||01|03|07|20||||1|1|024888|000000||||||||||||||||20130509121520
10823|9||1|||14/6*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019224027
10823|10||1|||147*|||||01|03|07|20||||1|1|000000|000497||||||||||||||||20131025052421
10823|11||1|||148|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|12||1|||150/48*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131025070433
10823|13||1|||152|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|14||1|||2/21|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|15||1|||31*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131020095325
10823|16||1|||31/11|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|17||1|||31/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131020095955
10823|18||1|||51/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131022031353
10823|19||1|||51/7*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131025131836
10823|20||1|||79/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024173230
10823|21||1|||91/2|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|23||1|||ร.ร.วัดใหม่เนินพยอม|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20121015095746
10823|111||1|||12/13*|||||01|03|07|20||||1|1|000000|237960||||||||||||||||20131019185356
10823|112|20070010595|1|||12/14|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|113||1|||12/16*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019185953
10823|114||1|||12/18*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019191257
10823|115|20070262497|1|||12/19*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20140704142859
10823|116||1|||12/2*|||||01|03|07|20||||1|1|001020|000000||||||||||||||||20131019171005
10823|118||1|||12/27*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019192655
10823|119||1|||12/28*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131019194923
10823|120|20070357820|1|||12/29|||||01|03|07|20||||1|1|000000|238204||||||||||||||||20100909173500
10823|122||1|||12/4*|||||01|03|07|20||||1|1|001020|000000||||||||||||||||20131019171443
10823|123|20070010510|1|||12/5|||||01|03|07|20||||1|1|001020|001054||||||||||||||||20110722133833
10823|124|20070010528|1|||12/6|||||01|03|07|20||||1|1|001020|001056||||||||||||||||20110722135830
10823|125|20070010536|1|||12/7|||||01|03|07|20||||1|1|001020|111261||||||||||||||||20110725150836
10823|126|20070010544|1|||12/8|||||01|03|07|20||||1|1|001020|001060||||||||||||||||20110725151731
10823|127||1|||120|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|128||1|||120/15*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131023184511
10823|129||1|||120/4|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|130||1|||120/6|||||01|03|07|20||||1|1|000000|239852||||||||||||||||20100909173500
10823|131||1|||121 ม.1 ต.ทุ่งสุขลา อ.ศรีราชา|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131108185322
10823|132||1|||121/1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20130102091141
10823|25||1||||||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|26|20070010013|8|||1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20130913123730
10823|27|20070010013|1|||1*|||||01|03|07|20||574|265|1|1|000000|015968||||||||||||||||20130906105733
10823|28|20070010030|1|||1/2*|||||01|03|07|20||||1|1|000000|000787||||||||||||||||20130906110935
10823|29|20070010048|1|||1/3*|||||01|03|07|20||||1|1|000000|015975||||||||||||||||20130906111012
10823|30||1|||1/4|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20111107141853
10823|31||1|||1/8|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|32||1|||10/1*|||||01|03|07|20||||1|1|000000|000793||||||||||||||||20131019165443
10823|33|20070010382|1|||10/18|||||01|03|07|20||||1|1|001020|000000||||||||||||||||20110722125858
10823|34|20070010366|1|||10/2|||||01|03|07|20||||1|1|001020|000000||||||||||||||||20100909173500
10823|35||1|||101|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|36||1|||101/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024152821
10823|37||1|||101/2|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|38||1|||101/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024152943
10823|39||1|||101/4|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|40||1|||102|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|41||1|||103*|||||01|03|07|20||||1|1|000000|039416||||||||||||||||20131024160929
10823|42||1|||103/1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|43||1|||103/2*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024161044
10823|44||1|||103/3*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024161716
10823|45||1|||103/4*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024163746
10823|46||1|||103/5*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024163952
10823|47||1|||104/1|||||01|03|07|20||||1|1|001246|000000||||||||||||||||20111026153005
10823|48||1|||104/4|||||01|03|07|20||||1|1|001246|000000||||||||||||||||20111026150021
10823|49||1|||104/5*|||||01|03|07|20||||1|1|000000|238343||||||||||||||||20131024172018
10823|50||1|||104/6|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20141020103118
10823|51||1|||105*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024172226
10823|52||1|||105/2|||||01|03|07|20||||1|1|000000|000849||||||||||||||||20100909173500
10823|53||1|||105/4*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024154504
10823|54||1|||105/5|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|55||1|||105/6*|||||01|03|07|20||||1|1|001246|238494||||||||||||||||20131024155049
10823|56||1|||105/7|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|57||1|||105/8*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024161821
10823|58||1|||105/9|||||01|03|07|20||||1|1|000000|238358||||||||||||||||20100909173500
10823|59||1|||106/1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|60||1|||107|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|61||1|||107/1|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|62||1|||107/2|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|63||1|||108|||||01|03|07|20||||1|1|000883|135446||||||||||||||||20100909173500
10823|64||1|||108/1*|||||01|03|07|20||||1|1|000000|000883||||||||||||||||20131024163255
10823|65||1|||108/2*|||||01|03|07|20||||1|1|000883|000000||||||||||||||||20131024163609
10823|66||1|||109*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024122116
10823|67||1|||109/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024121949
10823|68||1|||109/2*|||||01|03|07|20||||1|1|000000|238484||||||||||||||||20131024121651
10823|69|20070010447|1|||11/2|||||01|03|07|20||||1|1|001020|000901||||||||||||||||20110722130129
10823|70||1|||110*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024121551
10823|71||1|||112/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024193424
10823|72||1|||112/2*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024193825
10823|73||1|||113 ม.1 ต.ทุ่งสุขลา อ.ศรีราชา|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20130503114903
10823|74||1|||113/2*|||||01|03|07|20||||1|1|000000|238473||||||||||||||||20131024195831
10823|75||1|||113/4*|||||01|03|07|20||||1|1|000000|238306||||||||||||||||20131024200115
10823|76||1|||113/6|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|77||1|||114|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|78||1|||114/2*|||||01|03|07|20||||1|1|000000|238472||||||||||||||||20131024200507
10823|79||1|||114/3|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|80||1|||116*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024174532
10823|81||1|||116/1*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024175016
10823|82||1|||116/10|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|83||1|||116/15*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024181321
10823|84||1|||116/16|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|85||1|||116/17|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|86||1|||116/18*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024181630
10823|87||1|||116/3|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20100909173500
10823|88||1|||116/4*|||||01|03|07|20||||1|1|000000|238465||||||||||||||||20131024180651
10823|89||1|||116/5*|||||01|03|07|20||||1|1|000000|000000||||||||||||||||20131024180809
