HOSPCODE|VID|NTRADITIONAL|NMONK|NRELIGIONLEADER|NBROADCAST|NRADIO|NPCHC|NCLINIC|NDRUGSTORE|NCHILDCENTER|NPSCHOOL|NSSCHOOL|NTEMPLE|NRELIGIOUSPLACE|NMARKET|NSHOP|NFOODSHOP|NSTALL|NRAINTANK|NCHICKENFARM|NPIGFARM|WASTEWATER|GARBAGE|NFACTORY|LATITUDE|LONGITUDE|OUTDATE|NUMACTUALLY|RISKTYPE|NUMSTATELESS|NEXERCISECLUB|NOLDERLYCLUB|NDISABLECLUB|NNUMBERONECLUB|D_UPDATE
10823|20070301|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070302|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070303|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20140115122902
10823|20070304|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070305|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070306|0|0|0|0|0|0|0|0||0|0|1|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20130321093633
10823|20070307|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070308|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070309|0|0|0|0|0|0|0|0||1|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070310|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070311|0|0|0|0|0|0|0|0||0|1|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070312|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20141116133751
10823|20070313|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20140816191301
10823|20070314|0|0|0|0|0|0|0|0||0|0|0|0||0|0|0|0|0|0|2||0||||0|||0|0|0|0|20140816191535
